Station,Date,Time,Event #,Species,Trophic Level,No. of Individuals,Behavior,Species interacting
Airport Kill,5/1/2018,3:54:03 PM,1,Human,na,1,Camera Set Up,Single Species
Airport Kill,5/1/2018,4:11:55 PM,1,Human,na,1,End of Event,Single Species
Airport Kill,5/2/2019,12:32:09 AM,2,Bobcat,Meso carnivore,1,Investigating,Single Species
Airport Kill,5/2/2019,12:33:42 AM,2,Bobcat,Meso carnivore,1,Sitting,Single Species
Airport Kill,5/2/2019,12:34:00 AM,2,Bobcat,Meso carnivore,1,Sitting,Single Species
Airport Kill,5/2/2019,12:34:27 AM,2,Bobcat,Meso carnivore,1,Sitting,Single Species
Airport Kill,5/2/2019,12:35:09 AM,2,Bobcat,Meso carnivore,1,Sitting,Single Species
Airport Kill,5/2/2019,12:36:28 AM,2,Bobcat,Meso carnivore,1,Sitting,Single Species
Airport Kill,5/2/2019,12:37:47 AM,2,Bobcat,Meso carnivore,1,Sitting,Single Species
Airport Kill,5/2/2019,12:40:27 AM,2,Bobcat,Meso carnivore,1,Investigating,Single Species
Airport Kill,5/2/2019,12:41:28 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:44:07 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:44:59 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:45:53 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:46:46 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:46:56 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:47:15 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:47:53 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:48:35 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:50:23 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:50:41 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:51:22 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:51:45 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:53:16 AM,2,Bobcat,Meso carnivore,1,Standing (Alert),Single Species
Airport Kill,5/2/2019,12:35:35 AM,2,Bobcat,Meso carnivore,1,Walking Away from Carcass,Single Species
